customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent,snapshot_date,churn_next_60d,split,order_count,total_spend,avg_order_value,ticket_count,order_count_bin,return_rate,return_rate_bin,ticket_count_bin,session_count,session_bin,campaigns_received
CUST00011,2024-12-14,Tier 2,18-24,Referral,Gold,Fragrance,Sensitive,No,2025-09-30,0,train,4,2912.49,728.1225,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00012,2024-11-01,Tier 2,35-44,Instagram,,Skin Care,Normal,No,2025-09-30,1,train,2,2051.63,1025.815,1.0,2,0.0,0%,1,1,1-2,1
CUST00013,2025-01-06,Tier 3,35-44,Google Search,,Fragrance,Oily,Yes,2025-09-30,0,train,4,2934.52,733.63,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00014,2024-05-08,Tier 2,18-24,Referral,,Fragrance,Combination,No,2025-09-30,0,train,13,9108.63,700.6638461538461,2.0,11+,0.0,0%,2,1,1-2,1
CUST00015,2024-11-15,Tier 2,25-34,Google Search,Gold,Hair Care,Dry,Yes,2025-09-30,0,train,5,5805.34,1161.068,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00016,2024-08-13,Tier 2,18-24,Instagram,,Skin Care,Sensitive,Yes,2025-09-30,1,test,1,478.02,478.02,1.0,1,0.0,0%,1,1,1-2,1
CUST00017,2024-05-15,Tier 3,35-44,Referral,,Hair Care,Combination,Yes,2025-09-30,1,train,3,1699.1399999999999,566.38,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00018,2025-04-23,Tier 1,35-44,Marketplace,Silver,Skin Care,,Yes,2025-09-30,1,test,1,329.21,329.21,0.0,1,0.0,0%,0,1,1-2,1
CUST00019,2025-04-04,Tier 1,18-24,Referral,Gold,Skin Care,Normal,Yes,2025-09-30,0,train,3,2719.02,906.34,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00020,2024-04-05,Tier 3,45+,Instagram,,Skin Care,Combination,No,2025-09-30,1,train,3,4487.950000000001,1495.9833333333336,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00021,2025-04-10,Tier 2,25-34,Marketplace,Silver,Makeup,Combination,Yes,2025-09-30,1,train,2,1059.3,529.65,1.0,2,0.0,0%,1,1,1-2,1
CUST00022,2025-07-09,Tier 1,18-24,Instagram,,Wellness,Normal,Yes,2025-09-30,0,train,2,1332.67,666.335,0.0,2,0.0,0%,0,1,1-2,1
CUST00023,2025-09-01,Tier 3,18-24,Google Search,Gold,Baby Care,Normal,Yes,2025-09-30,0,train,2,772.04,386.02,0.0,2,0.0,0%,0,1,1-2,1
CUST00024,2025-06-19,Tier 1,25-34,Marketplace,,Skin Care,Dry,Yes,2025-09-30,0,test,2,967.97,483.985,0.0,2,0.0,0%,0,1,1-2,1
CUST00025,2024-03-15,Tier 2,18-24,Referral,,Baby Care,Normal,Yes,2025-09-30,1,test,7,4868.86,695.5514285714286,3.0,6-10,0.0,0%,3-4,1,1-2,1
CUST00026,2025-01-13,Tier 2,25-34,Referral,,Wellness,,Yes,2025-09-30,0,train,4,4521.43,1130.3575,1.0,3-5,0.5,26-50%,1,1,1-2,1
CUST00027,2024-04-16,Tier 1,45+,Instagram,,Baby Care,Sensitive,Yes,2025-09-30,0,validation,2,2666.0,1333.0,1.0,2,0.5,26-50%,1,1,1-2,1
CUST00028,2024-09-27,Tier 1,25-34,Influencer,,Baby Care,Sensitive,Yes,2025-09-30,0,train,3,1853.73,617.91,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00029,2024-06-14,Tier 2,35-44,Referral,,Skin Care,,No,2025-09-30,0,train,11,7122.8,647.5272727272727,0.0,11+,0.0,0%,0,1,1-2,1
CUST00030,2024-05-31,Tier 1,25-34,Google Search,Gold,Wellness,Oily,No,2025-09-30,0,test,7,3884.46,554.9228571428572,2.0,6-10,0.0,0%,2,1,1-2,1
CUST00031,2025-07-27,Tier 1,35-44,Marketplace,,Wellness,Dry,No,2025-09-30,1,train,1,672.95,672.95,0.0,1,0.0,0%,0,1,1-2,1
CUST00032,2024-12-06,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No,2025-09-30,0,test,4,2456.0499999999997,614.0124999999999,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00033,2024-08-15,Tier 3,18-24,Google Search,Gold,Fragrance,Dry,Yes,2025-09-30,0,validation,6,3548.9,591.4833333333333,2.0,6-10,0.3333333333333333,26-50%,2,1,1-2,1
CUST00034,2024-10-12,Tier 2,25-34,Marketplace,Gold,Hair Care,Oily,Yes,2025-09-30,0,train,7,4165.39,595.0557142857143,3.0,6-10,0.0,0%,3-4,1,1-2,1
CUST00035,2024-09-28,Tier 2,18-24,Google Search,Silver,Hair Care,Normal,Yes,2025-09-30,1,train,3,1369.71,456.57,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00036,2025-03-22,Tier 3,18-24,Referral,Silver,Makeup,,Yes,2025-09-30,1,train,4,1737.33,434.3325,1.0,3-5,0.25,11-25%,1,1,1-2,1
CUST00037,2024-11-17,Tier 1,35-44,Influencer,,Makeup,Sensitive,Yes,2025-09-30,0,train,3,2021.52,673.84,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00038,2025-01-23,Tier 3,35-44,Marketplace,,Baby Care,Oily,Yes,2025-09-30,0,train,6,2761.52,460.25333333333333,1.0,6-10,0.0,0%,1,1,1-2,1
CUST00039,2024-11-25,Tier 2,25-34,Instagram,,Wellness,,Yes,2025-09-30,0,train,4,2094.09,523.5225,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00040,2024-12-09,Tier 3,18-24,Instagram,,Fragrance,Dry,Yes,2025-09-30,1,train,1,634.73,634.73,1.0,1,0.0,0%,1,1,1-2,1
CUST00041,2024-03-15,Tier 3,25-34,Referral,Silver,Hair Care,Combination,Yes,2025-09-30,1,train,4,1911.8600000000001,477.96500000000003,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00042,2024-04-19,Tier 1,35-44,Organic,Silver,Hair Care,Normal,Yes,2025-09-30,0,train,10,7919.28,791.928,6.0,6-10,0.2,11-25%,5+,1,1-2,1
CUST00043,2025-06-27,Tier 2,45+,Influencer,Gold,Baby Care,,No,2025-09-30,0,test,2,705.3199999999999,352.65999999999997,0.0,2,0.0,0%,0,1,1-2,1
CUST00044,2024-06-11,Tier 2,35-44,Google Search,,Baby Care,Normal,Yes,2025-09-30,0,test,4,3409.6499999999996,852.4124999999999,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00045,2024-08-28,Tier 1,25-34,Referral,,Skin Care,,Yes,2025-09-30,1,train,1,413.75,413.75,0.0,1,0.0,0%,0,1,1-2,1
CUST00046,2025-04-22,Tier 1,25-34,Referral,Gold,Baby Care,,Yes,2025-09-30,1,train,1,489.87,489.87,0.0,1,0.0,0%,0,1,1-2,1
CUST00047,2024-12-26,Tier 1,25-34,Organic,Gold,Baby Care,,Yes,2025-09-30,1,train,1,764.43,764.43,0.0,1,0.0,0%,0,1,1-2,1
CUST00048,2025-03-22,Tier 1,25-34,Marketplace,Silver,Makeup,Combination,No,2025-09-30,0,validation,5,2860.14,572.028,1.0,3-5,0.2,11-25%,1,1,1-2,1
CUST00049,2025-08-29,Tier 1,25-34,Marketplace,,Hair Care,Oily,Yes,2025-09-30,0,train,2,1172.61,586.305,0.0,2,0.5,26-50%,0,1,1-2,1
CUST00050,2025-01-23,Tier 3,25-34,Referral,Gold,Hair Care,,Yes,2025-09-30,0,train,4,3169.58,792.395,1.0,3-5,0.25,11-25%,1,1,1-2,1
CUST00051,2024-02-11,Tier 3,35-44,Instagram,,Skin Care,Dry,Yes,2025-09-30,1,train,4,4444.3,1111.075,2.0,3-5,0.0,0%,2,1,1-2,1
CUST00052,2024-09-19,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No,2025-09-30,1,train,3,2807.14,935.7133333333333,1.0,3-5,0.3333333333333333,26-50%,1,1,1-2,1
CUST00053,2025-01-19,Tier 2,25-34,Instagram,Silver,Baby Care,Oily,Yes,2025-09-30,0,validation,6,5422.92,903.82,2.0,6-10,0.0,0%,2,1,1-2,1
CUST00054,2025-08-02,Tier 1,35-44,Referral,,Hair Care,Sensitive,Yes,2025-09-30,0,train,2,1154.37,577.185,0.0,2,0.5,26-50%,0,1,1-2,1
CUST00055,2025-01-05,Tier 3,25-34,Marketplace,,Makeup,,Yes,2025-09-30,0,train,4,1707.24,426.81,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00056,2025-03-22,Tier 2,35-44,Google Search,,Wellness,Sensitive,No,2025-09-30,0,validation,5,4169.73,833.9459999999999,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00057,2025-01-23,Tier 2,25-34,Google Search,,Hair Care,Sensitive,Yes,2025-09-30,1,train,2,2510.83,1255.415,0.0,2,0.0,0%,0,1,1-2,1
CUST00058,2024-01-11,Tier 1,25-34,Google Search,,Baby Care,Dry,Yes,2025-09-30,0,test,5,3930.75,786.15,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00059,2024-04-05,Tier 1,25-34,Google Search,Silver,Hair Care,Normal,Yes,2025-09-30,0,test,5,5050.94,1010.1879999999999,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00060,2025-04-09,Tier 1,25-34,Instagram,,Skin Care,Normal,No,2025-09-30,1,train,1,293.22,293.22,0.0,1,0.0,0%,0,1,1-2,1
CUST00061,2024-10-10,Tier 3,35-44,Referral,,Skin Care,Dry,Yes,2025-09-30,0,train,5,2511.7200000000003,502.34400000000005,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00062,2024-05-09,Tier 3,25-34,Referral,Silver,Skin Care,Combination,Yes,2025-09-30,0,train,5,3135.08,627.016,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00063,2024-12-14,Tier 1,18-24,Influencer,,Fragrance,Combination,Yes,2025-09-30,1,train,1,397.69,397.69,1.0,1,0.0,0%,1,1,1-2,1
CUST00064,2025-07-30,Tier 1,45+,Google Search,,Hair Care,Normal,No,2025-09-30,0,test,3,1634.0,544.6666666666666,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00065,2025-03-29,Tier 2,25-34,Referral,,Skin Care,,Yes,2025-09-30,0,train,4,3966.91,991.7275,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00066,2024-03-24,Tier 1,18-24,Instagram,,Hair Care,Normal,Yes,2025-09-30,1,train,5,4598.95,919.79,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00067,2025-04-09,Tier 1,18-24,Google Search,Silver,Baby Care,Dry,Yes,2025-09-30,1,test,2,1246.44,623.22,1.0,2,0.5,26-50%,1,1,1-2,1
CUST00068,2024-05-25,Tier 1,18-24,Google Search,Silver,Baby Care,Sensitive,Yes,2025-09-30,1,train,3,2123.66,707.8866666666667,1.0,3-5,0.3333333333333333,26-50%,1,1,1-2,1
CUST00069,2024-10-05,Tier 2,25-34,Instagram,,Hair Care,Sensitive,Yes,2025-09-30,1,train,2,874.47,437.235,0.0,2,0.0,0%,0,1,1-2,1
CUST00070,2025-08-12,Tier 1,25-34,Organic,Gold,Baby Care,Dry,Yes,2025-09-30,1,train,1,542.98,542.98,0.0,1,0.0,0%,0,1,1-2,1
CUST00071,2025-08-22,Tier 3,25-34,Influencer,,Hair Care,Sensitive,Yes,2025-09-30,1,train,1,2062.5,2062.5,1.0,1,0.0,0%,1,1,1-2,1
CUST00072,2024-10-22,Tier 1,35-44,Organic,,Skin Care,Sensitive,Yes,2025-09-30,1,train,4,2587.02,646.755,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00073,2024-01-02,Tier 2,25-34,Google Search,,Hair Care,Combination,Yes,2025-09-30,0,train,7,6253.77,893.3957142857143,0.0,6-10,0.0,0%,0,1,1-2,1
CUST00074,2024-10-21,Tier 2,25-34,Instagram,Platinum,Baby Care,Dry,Yes,2025-09-30,0,train,5,2884.48,576.896,1.0,3-5,0.2,11-25%,1,1,1-2,1
CUST00075,2024-08-18,Tier 3,45+,Referral,,Fragrance,Combination,No,2025-09-30,0,train,11,7714.719999999999,701.3381818181817,4.0,11+,0.0,0%,3-4,1,1-2,1
CUST00076,2025-05-09,Tier 1,45+,Referral,,Wellness,Normal,No,2025-09-30,0,train,4,2888.0299999999997,722.0074999999999,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00077,2025-02-28,Tier 3,25-34,Google Search,,Makeup,Normal,Yes,2025-09-30,1,validation,1,394.32,394.32,0.0,1,0.0,0%,0,1,1-2,1
CUST00078,2025-05-10,Tier 2,25-34,Referral,,Hair Care,Dry,No,2025-09-30,1,train,1,894.45,894.45,1.0,1,1.0,>50%,1,1,1-2,1
CUST00079,2025-02-24,Tier 2,18-24,Marketplace,Silver,Hair Care,,No,2025-09-30,1,train,1,619.57,619.57,0.0,1,0.0,0%,0,1,1-2,1
CUST00080,2024-05-09,Tier 2,25-34,Organic,Gold,Hair Care,Normal,No,2025-09-30,0,train,4,2832.98,708.245,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00081,2024-06-07,Tier 3,18-24,Google Search,Silver,Hair Care,Oily,No,2025-09-30,0,train,9,5805.78,645.0866666666666,3.0,6-10,0.2222222222222222,11-25%,3-4,1,1-2,1
CUST00082,2024-11-20,Tier 3,25-34,Referral,,Baby Care,Dry,Yes,2025-09-30,1,test,3,1671.25,557.0833333333334,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00083,2025-03-20,Tier 2,45+,Marketplace,,Skin Care,Sensitive,No,2025-09-30,1,train,2,806.87,403.435,1.0,2,0.5,26-50%,1,1,1-2,1
CUST00084,2025-01-18,Tier 1,25-34,Google Search,Silver,Skin Care,Dry,Yes,2025-09-30,1,train,1,1273.18,1273.18,0.0,1,0.0,0%,0,1,1-2,1
CUST00085,2025-08-20,Tier 2,18-24,Google Search,,Skin Care,Combination,No,2025-09-30,1,train,1,1257.8,1257.8,0.0,1,0.0,0%,0,1,1-2,1
CUST00086,2024-12-19,Tier 1,45+,Influencer,Silver,Hair Care,Sensitive,Yes,2025-09-30,0,test,6,3003.66,500.60999999999996,1.0,6-10,0.0,0%,1,1,1-2,1
CUST00087,2025-08-08,Tier 1,25-34,Marketplace,,Fragrance,Combination,Yes,2025-09-30,0,train,4,3610.9700000000003,902.7425000000001,0.0,3-5,0.25,11-25%,0,1,1-2,1
CUST00088,2024-02-20,Tier 2,45+,Organic,Gold,Makeup,Dry,Yes,2025-09-30,1,test,12,6774.5,564.5416666666666,1.0,11+,0.0,0%,1,1,1-2,1
CUST00089,2024-05-20,Tier 3,25-34,Marketplace,,Hair Care,Normal,Yes,2025-09-30,1,train,2,2825.75,1412.875,0.0,2,0.0,0%,0,1,1-2,1
CUST00090,2025-03-01,Tier 1,18-24,Referral,Platinum,Baby Care,Sensitive,No,2025-09-30,0,train,5,2498.83,499.76599999999996,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00091,2024-10-29,Tier 1,35-44,Instagram,Platinum,Skin Care,Dry,No,2025-09-30,0,train,5,5844.34,1168.868,1.0,3-5,0.2,11-25%,1,1,1-2,1
CUST00092,2025-07-24,Tier 3,25-34,Instagram,,Hair Care,,No,2025-09-30,0,test,2,1155.25,577.625,0.0,2,0.0,0%,0,1,1-2,1
CUST00093,2025-01-15,Tier 1,18-24,Instagram,Gold,Baby Care,Normal,Yes,2025-09-30,1,validation,1,759.64,759.64,0.0,1,0.0,0%,0,1,1-2,1
CUST00094,2024-11-05,Tier 1,25-34,Instagram,,Wellness,Oily,Yes,2025-09-30,1,validation,4,3557.43,889.3575,2.0,3-5,0.0,0%,2,1,1-2,1
CUST00095,2025-07-07,Tier 2,25-34,Instagram,,Skin Care,Combination,Yes,2025-09-30,1,train,1,372.65,372.65,1.0,1,0.0,0%,1,1,1-2,1
CUST00096,2024-08-10,Tier 3,25-34,Organic,,Makeup,Normal,No,2025-09-30,0,test,4,2403.64,600.91,1.0,3-5,0.25,11-25%,1,1,1-2,1
CUST00097,2024-05-05,Tier 3,45+,Instagram,,Baby Care,Oily,Yes,2025-09-30,0,train,8,5040.67,630.08375,2.0,6-10,0.125,11-25%,2,1,1-2,1
CUST00098,2024-07-29,Tier 2,18-24,Instagram,,Fragrance,Sensitive,No,2025-09-30,1,train,2,1843.57,921.785,1.0,2,0.0,0%,1,1,1-2,1
CUST00099,2024-05-28,Tier 2,45+,Organic,,Fragrance,Dry,Yes,2025-09-30,0,train,6,3861.8199999999997,643.6366666666667,1.0,6-10,0.0,0%,1,1,1-2,1
CUST00100,2024-06-27,Tier 1,25-34,Referral,,Skin Care,Combination,No,2025-09-30,0,validation,3,2209.4,736.4666666666667,0.0,3-5,0.3333333333333333,26-50%,0,1,1-2,1
CUST00101,2024-02-14,Tier 3,35-44,Marketplace,,Baby Care,Oily,Yes,2025-09-30,1,train,5,3514.87,702.9739999999999,2.0,3-5,0.0,0%,2,1,1-2,1
CUST00102,2025-05-17,Tier 2,35-44,Organic,,Skin Care,Dry,Yes,2025-09-30,0,train,2,2048.62,1024.31,0.0,2,0.0,0%,0,1,1-2,1
CUST00103,2025-09-03,Tier 2,25-34,Marketplace,,Makeup,,Yes,2025-09-30,0,train,3,2581.31,860.4366666666666,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00104,2025-04-07,Tier 1,35-44,Organic,,Makeup,Sensitive,Yes,2025-09-30,1,validation,1,955.63,955.63,0.0,1,0.0,0%,0,1,1-2,1
CUST00105,2025-04-30,Tier 3,18-24,Instagram,,Makeup,Dry,Yes,2025-09-30,0,train,2,2846.2999999999997,1423.1499999999999,0.0,2,0.0,0%,0,1,1-2,1
CUST00106,2024-05-05,Tier 3,25-34,Influencer,,Wellness,Oily,No,2025-09-30,1,train,7,4352.11,621.7299999999999,1.0,6-10,0.0,0%,1,1,1-2,1
CUST00107,2024-08-05,Tier 2,18-24,Organic,,Baby Care,Oily,No,2025-09-30,0,validation,4,3891.05,972.7625,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00108,2025-07-24,Tier 3,18-24,Organic,,Skin Care,,No,2025-09-30,1,train,1,1074.5,1074.5,1.0,1,1.0,>50%,1,1,1-2,1
CUST00109,2024-05-26,Tier 1,25-34,Instagram,Silver,Skin Care,,Yes,2025-09-30,0,test,6,4566.15,761.025,0.0,6-10,0.0,0%,0,1,1-2,1
CUST00110,2024-11-15,Tier 2,35-44,Referral,,Skin Care,Dry,No,2025-09-30,1,train,6,3922.07,653.6783333333334,2.0,6-10,0.0,0%,2,1,1-2,1
CUST00111,2025-03-10,Tier 2,25-34,Google Search,Silver,Skin Care,Combination,Yes,2025-09-30,1,test,1,1135.09,1135.09,0.0,1,0.0,0%,0,1,1-2,1
CUST00112,2024-11-11,Tier 1,18-24,Marketplace,,Hair Care,Dry,No,2025-09-30,0,train,9,6542.4,726.9333333333333,1.0,6-10,0.2222222222222222,11-25%,1,1,1-2,1
CUST00113,2025-05-24,Tier 1,35-44,Google Search,Silver,Hair Care,,No,2025-09-30,0,train,3,2095.48,698.4933333333333,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00114,2024-01-20,Tier 1,25-34,Google Search,,Hair Care,,Yes,2025-09-30,1,test,6,5133.53,855.5883333333333,1.0,6-10,0.0,0%,1,1,1-2,1
CUST00115,2025-04-16,Tier 3,35-44,Instagram,Gold,Skin Care,Normal,Yes,2025-09-30,1,train,1,596.54,596.54,1.0,1,0.0,0%,1,1,1-2,1
CUST00116,2024-08-14,Tier 1,25-34,Referral,,Hair Care,Sensitive,Yes,2025-09-30,1,validation,6,5635.9,939.3166666666666,0.0,6-10,0.0,0%,0,1,1-2,1
CUST00117,2024-04-15,Tier 1,18-24,Marketplace,Silver,Baby Care,Dry,No,2025-09-30,1,train,4,2534.33,633.5825,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00118,2025-08-16,Tier 3,25-34,Referral,Silver,Baby Care,,Yes,2025-09-30,0,train,4,2001.17,500.2925,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00119,2024-10-08,Tier 1,25-34,Instagram,,Skin Care,Sensitive,No,2025-09-30,0,train,6,4466.32,744.3866666666667,1.0,6-10,0.0,0%,1,1,1-2,1
CUST00120,2025-08-31,Tier 2,25-34,Referral,Silver,Fragrance,Combination,No,2025-09-30,0,train,2,755.8399999999999,377.91999999999996,0.0,2,0.0,0%,0,1,1-2,1
CUST00121,2025-05-28,Tier 1,18-24,Instagram,Gold,Hair Care,,Yes,2025-09-30,0,validation,3,3028.88,1009.6266666666667,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00122,2025-03-25,Tier 2,25-34,Google Search,Gold,Hair Care,Sensitive,Yes,2025-09-30,1,train,2,2048.93,1024.465,0.0,2,0.0,0%,0,1,1-2,1
CUST00123,2024-12-03,Tier 2,18-24,Google Search,Silver,Baby Care,Normal,No,2025-09-30,0,train,7,3742.48,534.64,3.0,6-10,0.14285714285714285,11-25%,3-4,1,1-2,1
CUST00124,2024-12-24,Tier 2,25-34,Marketplace,,Makeup,Oily,Yes,2025-09-30,1,train,4,2570.5,642.625,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00125,2025-06-23,Tier 2,18-24,Referral,,Hair Care,Dry,Yes,2025-09-30,0,train,3,2455.21,818.4033333333333,0.0,3-5,0.3333333333333333,26-50%,0,1,1-2,1
CUST00126,2024-06-07,Tier 3,18-24,Instagram,Silver,Fragrance,Normal,Yes,2025-09-30,1,train,2,1260.02,630.01,0.0,2,0.0,0%,0,1,1-2,1
CUST00127,2025-01-20,Tier 1,18-24,Marketplace,Silver,Wellness,,Yes,2025-09-30,0,test,3,1136.12,378.70666666666665,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00128,2025-03-30,Tier 2,25-34,Organic,,Skin Care,Combination,No,2025-09-30,0,test,3,2233.06,744.3533333333334,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00129,2025-03-27,Tier 1,25-34,Google Search,,Wellness,Dry,No,2025-09-30,0,train,5,4049.54,809.908,2.0,3-5,0.2,11-25%,2,1,1-2,1
CUST00130,2025-01-15,Tier 1,25-34,Organic,Gold,Skin Care,Dry,Yes,2025-09-30,0,train,2,1850.58,925.29,0.0,2,0.0,0%,0,1,1-2,1
CUST00131,2024-08-15,Tier 3,35-44,Influencer,,Hair Care,Sensitive,Yes,2025-09-30,1,train,6,6830.01,1138.335,0.0,6-10,0.0,0%,0,1,1-2,1
CUST00132,2024-04-11,Tier 2,35-44,Organic,,Skin Care,Combination,Yes,2025-09-30,1,train,5,4876.780000000001,975.3560000000001,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00133,2024-01-06,Tier 1,45+,Instagram,,Wellness,Normal,Yes,2025-09-30,0,test,10,7152.29,715.229,1.0,6-10,0.1,1-10%,1,1,1-2,1
CUST00134,2024-02-18,Tier 2,25-34,Marketplace,,Fragrance,Combination,Yes,2025-09-30,0,validation,6,4696.0199999999995,782.67,3.0,6-10,0.16666666666666666,11-25%,3-4,1,1-2,1
CUST00135,2024-05-27,Tier 1,25-34,Google Search,,Skin Care,,Yes,2025-09-30,1,test,4,2534.18,633.545,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00136,2025-06-03,Tier 2,35-44,Instagram,Gold,Skin Care,Combination,No,2025-09-30,1,train,1,514.9,514.9,0.0,1,0.0,0%,0,1,1-2,1
CUST00137,2024-12-19,Tier 2,25-34,Instagram,Silver,Makeup,Dry,Yes,2025-09-30,1,test,2,1035.87,517.935,0.0,2,0.0,0%,0,1,1-2,1
CUST00138,2025-04-20,Tier 2,45+,Instagram,,Makeup,Combination,Yes,2025-09-30,0,train,2,1424.6100000000001,712.3050000000001,0.0,2,0.5,26-50%,0,1,1-2,1
CUST00139,2024-11-19,Tier 2,45+,Influencer,,Skin Care,,Yes,2025-09-30,0,test,4,3008.66,752.165,2.0,3-5,0.0,0%,2,1,1-2,1
CUST00140,2024-12-05,Tier 3,25-34,Referral,,Hair Care,Combination,Yes,2025-09-30,0,test,5,4083.36,816.672,2.0,3-5,0.0,0%,2,1,1-2,1
CUST00141,2025-06-15,Tier 1,25-34,Referral,,Wellness,Dry,Yes,2025-09-30,0,test,2,1055.28,527.64,0.0,2,0.0,0%,0,1,1-2,1
CUST00142,2024-11-09,Tier 2,25-34,Instagram,,Hair Care,,No,2025-09-30,1,test,5,1880.0,376.0,0.0,3-5,0.0,0%,0,1,1-2,1
CUST00143,2024-02-28,Tier 2,18-24,Google Search,Silver,Makeup,Oily,Yes,2025-09-30,0,train,7,7890.950000000001,1127.2785714285715,0.0,6-10,0.0,0%,0,1,1-2,1
CUST00144,2024-03-09,Tier 2,25-34,Google Search,Gold,Skin Care,Dry,Yes,2025-09-30,0,validation,10,8510.65,851.0649999999999,3.0,6-10,0.1,1-10%,3-4,1,1-2,1
CUST00145,2025-08-10,Tier 1,18-24,Google Search,,Wellness,Oily,No,2025-09-30,1,validation,1,502.35,502.35,0.0,1,0.0,0%,0,1,1-2,1
CUST00146,2024-09-25,Tier 2,35-44,Instagram,Silver,Makeup,Combination,Yes,2025-09-30,0,train,6,6990.9400000000005,1165.1566666666668,1.0,6-10,0.16666666666666666,11-25%,1,1,1-2,1
CUST00147,2025-03-31,Tier 3,45+,Influencer,Platinum,Makeup,,Yes,2025-09-30,0,train,4,3412.56,853.14,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00148,2024-06-27,Tier 2,35-44,Instagram,,Skin Care,Combination,Yes,2025-09-30,0,train,5,3702.7,740.54,1.0,3-5,0.2,11-25%,1,1,1-2,1
